"Col2","Located","C&G","TRENCH","Surveyors PtNo","E","N","Z","Survey Code","Actual Chainage","Asset Id","KP","Pipeline Section","Utility Type","Utility Description","Operator","Location","Material","Size (mm)","ID","Proven to Underside of Service","Test Point","C&G Code","Trench Code","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m) (Minimum 600mm clearance to underside of asse","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Permit to Excavate Near Assets Required?","Permit/Notification Date","Crossing Permit Required?","Permit/Notification Date 2","Comments","Thrust Block Category"
"","","","","","","","","","","PHW-TB-022","2793.96","PHW","THRUST BLOCK","Type 4","","","MSCL","650","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-023","2802.89","PHW","THRUST BLOCK","Type 5","","","MSCL","650","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-024","2819.519","PHW","THRUST BLOCK","Type 6","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-025","3354.973","PHW","THRUST BLOCK","Type 3","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-026","3534.937","PHW","THRUST BLOCK","Type 4","","","MSCL","650","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-027","3549.714","PHW","THRUST BLOCK","Type 5","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-028","3833.98","PHW","THRUST BLOCK","Type 9","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-029","3843.886","PHW","THRUST BLOCK","Type 5","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-030","3858.762","PHW","THRUST BLOCK","Type 6","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-031","4304.94","PHW","THRUST BLOCK","Type 7","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-032","4409.494","PHW","THRUST BLOCK","Type 4","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-033","4413.12","PHW","THRUST BLOCK","Type 9","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-034","4859.322","PHW","THRUST BLOCK","Type 5","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-035","5356.119","PHW","THRUST BLOCK","Type 7","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-036","5386.241","PHW","THRUST BLOCK","Type 5","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-037","5498.469","PHW","THRUST BLOCK","Type 7","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-038","5641.654","PHW","THRUST BLOCK","Type 9","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-039","5719.91","PHW","THRUST BLOCK","Type 7","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-040","5823.561","PHW","THRUST BLOCK","Type 9","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
"","","","","","","","","","","PHW-TB-041","5851.91","PHW","THRUST BLOCK","Type 7","","","DICL","600","","","","","","","","","","","","","","","","","","","","","Bend"
